iter	Passed	Remaining
0	0	1251
1	1	1037
2	1	937
3	2	887
4	3	900
5	3	905
6	4	893
7	4	915
8	5	891
9	5	880
10	6	876
11	7	875
12	7	859
13	8	862
14	8	862
15	9	885
16	10	901
17	11	908
18	11	929
19	12	942
20	13	956
21	14	960
22	15	965
23	15	967
24	16	967
25	17	971
26	18	984
27	18	996
28	19	995
29	20	1010
30	21	1015
31	22	1020
32	22	1015
33	23	1019
34	24	1020
35	25	1024
36	26	1032
37	27	1041
38	27	1044
39	28	1038
40	29	1037
41	29	1036
42	30	1032
43	31	1029
44	31	1029
45	32	1029
46	33	1034
47	34	1037
48	35	1038
49	35	1038
50	36	1040
51	38	1059
52	38	1059
53	39	1054
54	40	1052
55	40	1053
56	41	1054
57	42	1057
58	43	1056
59	44	1060
60	44	1060
61	45	1064
62	46	1065
63	47	1068
64	48	1070
65	49	1069
66	50	1069
67	50	1070
68	51	1069
69	52	1069
70	53	1067
71	53	1069
72	54	1069
73	55	1070
74	56	1070
75	57	1069
76	58	1073
77	58	1070
78	59	1067
79	59	1064
80	60	1062
81	61	1061
82	62	1063
83	62	1061
84	63	1061
85	64	1060
86	65	1058
87	65	1056
88	66	1054
89	67	1057
90	68	1057
91	68	1055
92	69	1052
93	70	1049
94	70	1048
95	71	1045
96	72	1045
97	73	1046
98	74	1048
99	74	1045
100	75	1045
101	76	1044
102	76	1043
103	77	1044
104	78	1044
105	79	1044
106	80	1043
107	80	1042
108	81	1042
109	82	1042
110	83	1041
111	83	1039
112	84	1038
113	85	1038
114	86	1039
115	87	1039
116	87	1036
117	88	1035
118	89	1033
119	89	1034
120	90	1033
121	91	1032
122	92	1036
123	93	1035
124	94	1035
125	94	1034
126	95	1034
127	96	1034
128	97	1033
129	97	1032
130	98	1033
131	99	1034
132	100	1033
133	101	1031
134	101	1029
135	102	1027
136	103	1028
137	104	1029
138	104	1027
139	105	1027
140	106	1026
141	107	1028
142	108	1030
143	109	1030
144	110	1031
145	111	1030
146	112	1031
147	112	1031
148	113	1029
149	114	1027
150	114	1027
151	115	1025
152	116	1024
153	117	1027
154	118	1028
155	119	1029
156	120	1027
157	120	1026
158	121	1026
159	122	1025
160	123	1025
161	123	1023
162	124	1023
163	125	1021
164	126	1020
165	126	1019
166	127	1018
167	128	1017
168	129	1016
169	129	1015
170	130	1014
171	131	1013
172	131	1012
173	132	1010
174	133	1010
175	134	1008
176	134	1007
177	135	1006
178	136	1005
179	137	1005
180	137	1004
181	138	1004
182	139	1003
183	140	1002
184	141	1003
185	141	1001
186	142	1001
187	143	999
188	144	999
189	144	998
190	145	997
191	146	996
192	147	996
193	148	996
194	148	995
195	149	993
196	150	992
197	150	991
198	151	991
199	152	989
200	153	989
201	153	989
202	154	988
203	155	987
204	156	986
205	157	986
206	157	985
207	158	985
208	159	984
209	160	983
210	160	983
211	161	982
